Point1,Point2,Point3,Point4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1.5078108,1.5078108,3.0156216
3.1271908,0,0,0
0,0,0,0
0,0,0,0
0,1.9772681,1.9772681,3.9545362
0,0.42687517,0.42687517,0.85375034
0.24156031,1.092918,1.092918,2.185836
0.41826534,5.729418,5.729418,11.458836
0,0,0,0
1.8952672,0,0,0
0.75810695,0,0,0
0,0,0,0
2.179557,0,0,0
0,0,0,0
0,1.4311652,1.4311652,2.8623304
0,0,0,0
34.333836,6.01047,6.01047,12.02094
0,0.33076984,0.33076984,0.66153968
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.37987587,0.37987587,0.75975174
0.42137215,3.618175,3.618175,7.23635
0.3413374,11.457202,11.457202,22.914404
23.259134,1.7092425,1.7092425,3.418485
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
